"Scan/Ion","p106555_Total","p106556_Total","p106557_Total","p106558_Total","t106555_Total","t106556_Total","t106557_Total","t106558_Total","p106555_%Total","p106556_%Total","p106557_%Total","p106558_%Total","t106555_%Total","t106556_%Total","t106557_%Total","t106558_%Total"
"Oligo: 948.3303, HexNAc-Hex-NeuAc2","428","756","513","571","675","1267","883","921","2.989244307864227","5.252188411838266","3.5632423421546155","3.972173913043478","4.665146174580137","8.763920592100712","6.114111618889351","6.347784133985803"
"Oligo: 964.3251, HexNAc-Hex-NeuGc2","2","2","1","6","19","12","18","17","0.013968431345159939","0.013894678338196471","0.0069458915051746895","0.04173913043478261","0.1313152256548483","0.08300477277443453","0.12463647694225177","0.11716865393893446"
"Oligo: 1022.3671, HexNAc2-Hex2-NeuAc1","271","587","304","380","135","326","165","191","1.8927224472691715","4.078088092260664","2.1115510175731056","2.6434782608695655","0.9330292349160274","2.254962993705471","1.1425010386373078","1.3164242883727342"
"Oligo: 1038.3619, HexNAc2-Hex2-NeuGc1","8","11","13","13","31","28","33","25","0.055873725380639755","0.07642073086008058","0.09029658956727095","0.09043478260869565","0.21425115764738406","0.19367780314034724","0.2285002077274616","0.1723068440278448"
"Oligo: 1313.4625, HexNAc2-Hex2-NeuAc2","5","16","9","7","50","41","37","52","0.03492107836289984","0.11115742670557177","0.0625130235465722","0.04869565217391304","0.3455663833022324","0.2835996403126513","0.2561972026035175","0.35839823557791717"
"Oligo: 1329.4573, HexNAc2-Hex2-NeuGc2","1","4","4","4","47","18","29","35","0.006984215672579969","0.027789356676392943","0.027783566020698758","0.027826086956521737","0.3248324003040984","0.12450715916165178","0.2008032128514056","0.2412295816389827"
"Fucose: 350.1446, HexNAc-dHex","900","673","1197","1366","758","681","972","1107","6.285794105321972","4.675559260803112","8.314232131694103","9.502608695652173","5.238786370861843","4.710520854949159","6.730369754881595","7.629747053552967"
"Fucose: 512.1974, HexNAc-Hex-dHex (LeX/A)","4478","2951","4594","5570","1387","891","1559","2315","31.2753177818131","20.501597888008895","31.90942557477252","38.74782608695652","9.586011472803925","6.163104378501764","10.794903752942805","15.955613756978426"
"Fucose: 674.2502, HexNAc-Hex2-dHex","195","212","319","318","179","137","194","228","1.361922056153094","1.472835903848826","2.215739390150726","2.212173913043478","1.2371276522219918","0.9476378225081276","1.3433042514887135","1.5714384175339446"
"Fucose: 803.2928, HexNAc-Hex-dHex-NeuAc (sLeX/A)","2093","753","2267","3162","1004","411","1157","1779","14.617963402709877","5.231346394330972","15.746336042231022","21.996521739130433","6.9389729767088255","2.842913467524383","8.011355767899182","12.261355021021435"
"Fucose: 819.2908, HexNAc-Hex-dHex-NeuGc","5134","7299","5933","6723","2303","4229","2924","3660","35.85696326302556","50.708628595248015","41.20997430020143","46.76869565217391","15.916787614900823","29.2522653385903","20.2465032543969","25.225721965676478"
"Fucose: 877.3296, HexNAc2-Hex2-dHex (diLacNAc-Fuc)","203","89","176","153","98","77","98","93","1.4177957815337336","0.618313186049743","1.2224769049107453","1.0643478260869565","0.6773101112723754","0.532613958635955","0.6785763744633707","0.6409814597835826"
