PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73770_01_MA10140C_6010_100422.htrms.PG.Quantity,[2] ID73779_01_MA10140C_06010_100422.htrms.PG.Quantity,[3] ID73797_01_MA10140C_06010_100422.htrms.PG.Quantity
P01034,CST3,Cystatin-C,P01034,CYTC_HUMAN,1,1,1,13033.404296875,11455.15625,13332.1904296875
P01042,KNG1,Kininogen-1,P01042,KNG1_HUMAN,35,35,35,369072.09375,357104.09375,366005.40625
P01116,KRAS,GTPase KRas,P01116,RASK_HUMAN,3,3,3,20883.064453125,19835.41015625,20336.587890625
P01344,IGF2,Insulin-like growth factor II,P01344,IGF2_HUMAN,1,1,1,8854.7109375,6767.6552734375,7048.060546875
P01591,JCHAIN,Immunoglobulin J chain,P01591,IGJ_HUMAN,8,8,8,371836.875,381178.1875,207533.59375
P01593;P01594,IGKV1D-33;IGKV1-33,Immunoglobulin kappa variable 1D-33;Immunoglobulin kappa variable 1-33,P01593;P01594,KVD33_HUMAN;KV133_HUMAN,4,4,4,228502.890625,203834.9375,150773.859375
P01597;P04432,IGKV1-39;IGKV1D-39,Immunoglobulin kappa variable 1-39;Immunoglobulin kappa variable 1D-39,P01597;P04432,KV139_HUMAN;KVD39_HUMAN,8,8,8,199565.84375,201850.296875,135511.609375
P01601,IGKV1D-16,Immunoglobulin kappa variable 1D-16,P01601,KVD16_HUMAN,1,1,1,45770.43359375,67493.7890625,49113.01171875
P01602,IGKV1-5,Immunoglobulin kappa variable 1-5,P01602,KV105_HUMAN,4,4,3,506728.4375,509465.53125,324285.875
P01619,IGKV3-20,Immunoglobulin kappa variable 3-20,P01619,KV320_HUMAN,19,18,19,1548965.375,1372568.125,1016358.375
P01624,IGKV3-15,Immunoglobulin kappa variable 3-15,P01624,KV315_HUMAN,16,16,15,1066378.875,767571.9375,694653.3125
P01699,IGLV1-44,Immunoglobulin lambda variable 1-44,P01699,LV144_HUMAN,8,7,8,63280.46484375,57934.71484375,43790.83984375
P01700,IGLV1-47,Immunoglobulin lambda variable 1-47,P01700,LV147_HUMAN,1,1,1,620658.3125,527900.1875,426381.25
P01701,IGLV1-51,Immunoglobulin lambda variable 1-51,P01701,LV151_HUMAN,7,7,7,88980.421875,71448.53125,48352.89453125
P01703,IGLV1-40,Immunoglobulin lambda variable 1-40,P01703,LV140_HUMAN,10,10,10,29273.876953125,29660.498046875,22047.65625
P01704,IGLV2-14,Immunoglobulin lambda variable 2-14,P01704,LV214_HUMAN,0,2,2,NaN,128831.6796875,48664.76171875
P01705,IGLV2-23,Immunoglobulin lambda variable 2-23,P01705,LV223_HUMAN,1,0,1,10337.58203125,NaN,12897.9404296875
P01706,IGLV2-11,Immunoglobulin lambda variable 2-11,P01706,LV211_HUMAN,3,3,3,45796.48828125,49556.0625,34090.02734375
P01709,IGLV2-8,Immunoglobulin lambda variable 2-8,P01709,LV208_HUMAN,2,2,2,59239.5078125,114035.2265625,56424.20703125
P01714,IGLV3-19,Immunoglobulin lambda variable 3-19,P01714,LV319_HUMAN,3,3,3,184210.390625,154885.546875,148516.953125
P01718,IGLV3-27,Immunoglobulin lambda variable 3-27,P01718,LV327_HUMAN,5,6,5,112464.796875,147293.375,56017.33203125
P01721,IGLV6-57,Immunoglobulin lambda variable 6-57,P01721,LV657_HUMAN,7,6,6,109292.84375,60188.62109375,61476.5546875
