PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.NrOfPrecursorsUsedForQuantification,[1] ID73682_01_MA10104C_6010_092922.htrms.PG.Quantity,[2] ID73690_01_MA10104C_6010_092922.htrms.PG.Quantity,[3] ID73704_01_MA10104C_6010_092922.htrms.PG.Quantity
P20851,P20851,C4BPB,C4b-binding protein beta chain,C4BPB_HUMAN,14,14,14,269883.78125,231174.078125,240919.921875
P21333,P21333,FLNA,Filamin-A,FLNA_HUMAN,21,22,22,13748.1044921875,25914.220703125,25354.27734375
P22105,P22105,TNXB,Tenascin-X,TENX_HUMAN,3,3,3,24578.033203125,19607.193359375,16182.4794921875
P22352,P22352,GPX3,Glutathione peroxidase 3,GPX3_HUMAN,6,6,6,44749.10546875,48368.42578125,49048.2734375
P22692,P22692,IGFBP4,Insulin-like growth factor-binding protein 4,IBP4_HUMAN,1,1,1,10218.2685546875,10455.5205078125,9373.201171875
P22792,P22792,CPN2,Carboxypeptidase N subunit 2,CPN2_HUMAN,14,14,14,490394.28125,497479.46875,569158.5
P22891,P22891,PROZ,Vitamin K-dependent protein Z,PROZ_HUMAN,8,8,8,41059.54296875,46279.96875,34945.99609375
P23083,P23083,IGHV1-2,Immunoglobulin heavy variable 1-2,HV102_HUMAN,0,1,1,NaN,20515.703125,12111.4873046875
P23142,P23142,FBLN1,Fibulin-1,FBLN1_HUMAN,23,23,23,280235,321679.625,283589.375
P23470,P23470,PTPRG,Receptor-type tyrosine-protein phosphatase gamma,PTPRG_HUMAN,2,2,2,11126.943359375,16053.5732421875,10315.5673828125
P23528;Q9Y281,P23528;Q9Y281,CFL1;CFL2,Cofilin-1;Cofilin-2,COF1_HUMAN;COF2_HUMAN,1,1,1,15191.3486328125,25509.884765625,27176.3203125
P24158,P24158,PRTN3,Myeloblastin,PRTN3_HUMAN,5,5,5,17136.83203125,10978.2470703125,7211.11474609375
P24592,P24592,IGFBP6,Insulin-like growth factor-binding protein 6,IBP6_HUMAN,3,3,3,21554.818359375,27549.279296875,25331.421875
P24593,P24593,IGFBP5,Insulin-like growth factor-binding protein 5,IBP5_HUMAN,4,4,4,10003.6005859375,12696.0732421875,9568.1796875
P25311,P25311,AZGP1,Zinc-alpha-2-glycoprotein,ZA2G_HUMAN,46,46,46,1495218.125,1426091.125,1490638.5
P26927,P26927,MST1,Hepatocyte growth factor-like protein,HGFL_HUMAN,23,23,23,78137.8125,71970.75,71374.15625
P27169,P27169,PON1,Serum paraoxonase/arylesterase 1,PON1_HUMAN,15,15,15,1595055.375,1195867.125,1271452
P27918,P27918,CFP,Properdin,PROP_HUMAN,12,12,12,90644.421875,96315.140625,85476.8359375
P28799,P28799,GRN,Progranulin,GRN_HUMAN,2,2,2,37016.6015625,24844.626953125,17921.3984375
P29320,P29320,EPHA3,Ephrin type-A receptor 3,EPHA3_HUMAN,1,1,1,28519.673828125,20694.755859375,20764.130859375
P29622,P29622,SERPINA4,Kallistatin,KAIN_HUMAN,28,28,29,244133.859375,314530.71875,291381.1875
P30041,P30041,PRDX6,Peroxiredoxin-6,PRDX6_HUMAN,6,6,6,13260,24999.09375,28576.275390625
P30043,P30043,BLVRB,Flavin reductase (NADPH),BLVRB_HUMAN,6,6,6,17161.9296875,32191.255859375,39859.5
P30740,P30740,SERPINB1,Leukocyte elastase inhibitor,ILEU_HUMAN,1,1,1,4714.990234375,8218.703125,9424.998046875
P32119,P32119,PRDX2,Peroxiredoxin-2,PRDX2_HUMAN,11,11,11,43009.3203125,73337.4375,81502.7265625
P33151,P33151,CDH5,Cadherin-5,CADH5_HUMAN,5,5,5,53557.0546875,60452.01171875,64802.88671875
P33908,P33908,MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",MA1A1_HUMAN,3,3,3,18153.986328125,12619.716796875,13904.8994140625
P35443,P35443,THBS4,Thrombospondin-4,TSP4_HUMAN,4,5,5,8265.3642578125,21464.662109375,16651.359375
P35527,P35527,KRT9,"Keratin, type I cytoskeletal 9",K1C9_HUMAN,5,5,4,18452.396484375,47506.046875,14432.1416015625
P35542,P35542,SAA4,Serum amyloid A-4 protein,SAA4_HUMAN,12,12,12,1332105.875,1148761,1232157.125
P35579,P35579,MYH9,Myosin-9,MYH9_HUMAN,5,4,5,6178.416015625,8657.833984375,12073.7119140625
P35858,P35858,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,ALS_HUMAN,36,36,36,534221.4375,491851.96875,458495.78125
P35908,P35908,KRT2,"Keratin, type II cytoskeletal 2 epidermal",K22E_HUMAN,8,9,7,29800.11328125,61615.69140625,13086.8544921875
P36955,P36955,SERPINF1,Pigment epithelium-derived factor,PEDF_HUMAN,21,21,21,300652.96875,306412.03125,308223.96875
P36980,P36980,CFHR2,Complement factor H-related protein 2,FHR2_HUMAN,3,2,3,53409.59375,43779.42578125,93133.359375
P37802,P37802,TAGLN2,Transgelin-2,TAGL2_HUMAN,5,5,5,15290.146484375,25392.1171875,21978.84765625
P39060,P39060,COL18A1,Collagen alpha-1(XVIII) chain,COIA1_HUMAN,2,2,2,11173.9755859375,10571.091796875,8374.6572265625
P40197,P40197,GP5,Platelet glycoprotein V,GPV_HUMAN,2,3,3,8257.77734375,20113.18359375,18910.009765625
P41159,P41159,LEP,Leptin,LEP_HUMAN,1,0,1,457.3394470214844,NaN,5584.76708984375
P41222,P41222,PTGDS,Prostaglandin-H2 D-isomerase,PTGDS_HUMAN,3,3,3,71399.84375,81802.515625,77290.5
P43121,P43121,MCAM,Cell surface glycoprotein MUC18,MUC18_HUMAN,2,2,2,8019.380859375,16717.89453125,7303.74658203125
P43251,P43251,BTD,Biotinidase,BTD_HUMAN,10,10,10,127311.2421875,144402.125,142012.671875
P43652,P43652,AFM,Afamin,AFAM_HUMAN,69,69,69,980843.4375,1102828.25,1104049.25
P48059,P48059,LIMS1,LIM and senescent cell antigen-like-containing domain protein 1,LIMS1_HUMAN,2,2,2,1679.653076171875,4719.25830078125,3171.999267578125
P48740,P48740,MASP1,Mannan-binding lectin serine protease 1,MASP1_HUMAN,15,15,15,44188.7265625,60614.88671875,38015.51953125
P49454,P49454,CENPF,Centromere protein F,CENPF_HUMAN,1,1,1,581219.0625,612992,560273.0625
P49747,P49747,COMP,Cartilage oligomeric matrix protein,COMP_HUMAN,6,5,6,35617.796875,33182.46484375,40171.51953125
P49908,P49908,SELENOP,Selenoprotein P,SEPP1_HUMAN,11,11,11,212577.328125,230907.9375,211656.0625
P49913,P49913,CAMP,Cathelicidin antimicrobial peptide,CAMP_HUMAN,6,6,6,39881.34375,45999.26953125,14099.7431640625
P51884,P51884,LUM,Lumican,LUM_HUMAN,16,16,16,209253.296875,258976.640625,227279.90625
P52566,P52566,ARHGDIB,Rho GDP-dissociation inhibitor 2,GDIR2_HUMAN,2,2,2,8879.7392578125,10759.638671875,12041.904296875
P54108,P54108,CRISP3,Cysteine-rich secretory protein 3,CRIS3_HUMAN,1,1,1,78378.984375,109045.4375,73599.1015625
P55056,P55056,APOC4,Apolipoprotein C-IV,APOC4_HUMAN,9,8,9,87824.3125,82051.453125,63405.1484375
P55058,P55058,PLTP,Phospholipid transfer protein,PLTP_HUMAN,8,8,8,79099.3125,109772.875,92159.265625
P55103,P55103,INHBC,Inhibin beta C chain,INHBC_HUMAN,1,1,1,5053.23583984375,5637.34326171875,7090.98095703125
P55290,P55290,CDH13,Cadherin-13,CAD13_HUMAN,3,3,3,14106.7353515625,19995.2421875,15637.744140625
P59665;P59666,P59665;P59666,DEFA1;DEFA3,Neutrophil defensin 1;Neutrophil defensin 3,DEF1_HUMAN;DEF3_HUMAN,3,3,3,108332.8359375,93477.953125,99133.609375
P60174,P60174,TPI1,Triosephosphate isomerase,TPIS_HUMAN,3,3,3,3915.617431640625,7190.83935546875,5412.3408203125
P60660,P60660,MYL6,Myosin light polypeptide 6,MYL6_HUMAN,3,3,3,5722.71240234375,6619.24658203125,7715.98193359375
