RT	Window.Low	Window.High	204.087
0.104655	930.673	935.675	0
0.104844	935.675	940.677	137.563
0.105059	940.677	945.68	0
0.105222	945.68	950.682	0
0.105414	950.682	955.684	0
0.105581	955.684	960.687	86.5176
0.10575	960.687	965.689	0
0.105918	965.689	970.691	0
0.106082	970.691	975.693	121.271
0.106272	975.693	980.696	0
0.106461	980.696	985.698	242.592
0.106625	985.698	990.7	65.2978
0.106789	990.7	995.702	0
0.106953	995.702	1000.7	0
0.107125	1000.7	1005.71	282.36
0.107298	1005.71	1010.71	87.1477
0.107471	1010.71	1015.71	0
0.107663	1015.71	1020.71	122.43
0.107836	1020.71	1025.72	229.336
0.108009	1025.72	1030.72	326.993
0.108182	1030.72	1035.72	74.4712
0.108358	1035.72	1040.72	226.413
0.108547	1040.72	1045.73	294.777
0.10872	1045.73	1050.73	0
0.108893	1050.73	1055.73	0
0.109086	1055.73	1060.73	327.598
0.109259	1060.73	1065.73	0
0.109433	1065.73	1070.74	150.833
0.109606	1070.74	1075.74	0
0.10978	1075.74	1080.74	0
0.109986	380.423	385.425	253.328
0.110277	385.425	390.427	0
0.110441	390.427	395.43	0
0.111446	395.43	400.432	0
0.11161	400.432	405.434	91.9522
0.111799	405.434	410.436	0
0.11199	410.436	415.439	0
0.112159	415.439	420.441	0
0.112328	420.441	425.443	0
0.112492	425.443	430.446	0
0.112664	430.446	435.448	0
0.112832	435.448	440.45	0
0.113	440.45	445.452	0
0.113189	445.452	450.455	0
0.113353	450.455	455.457	0
0.113517	455.457	460.459	0
0.113683	460.459	465.461	0
0.113847	465.461	470.464	0
0.114061	470.464	475.466	0
0.114225	475.466	480.468	0
0.114391	480.468	485.471	0
0.114583	485.471	490.473	0
0.114751	490.473	495.475	0
0.11492	495.475	500.477	0
0.115089	500.477	505.48	0
0.115255	505.48	510.482	0
0.115423	510.482	515.484	0
0.115617	515.484	520.486	0
0.115809	520.486	525.489	0
0.115998	525.489	530.491	0
0.116187	530.491	535.493	0
0.116376	535.493	540.496	0
0.11654	540.496	545.498	0
0.116704	545.498	550.5	0
0.116893	550.5	555.502	0
0.117082	555.502	560.505	0
0.117271	560.505	565.507	0
0.117435	565.507	570.509	0
0.117624	570.509	575.511	0
0.117788	575.511	580.514	0
0.117977	580.514	585.516	0
0.118141	585.516	590.518	0
0.11833	590.518	595.521	0
0.118519	595.521	600.523	0
0.118683	600.523	605.525	0
0.118847	605.525	610.527	0
0.119011	610.527	615.53	0
0.119175	615.53	620.532	0
0.119343	620.532	625.534	0
0.119532	625.534	630.536	0
0.119721	630.537	635.539	0
0.119885	635.539	640.541	0
0.120073	640.541	645.543	0
0.120237	645.543	650.546	0
0.120579	650.546	655.548	0
0.120768	655.548	660.55	0
0.121734	660.55	665.552	0
0.121902	665.552	670.555	0
0.122091	670.555	675.557	0
0.122283	675.557	680.559	73.4128
0.122478	680.559	685.561	0
0.122667	685.561	690.564	0
0.122856	690.564	695.566	0
0.123045	695.566	700.568	0
