RT	Window.Low	Window.High	204.087
0.157045	950.682	955.684	111.125
0.157211	955.684	960.687	0
0.157378	960.687	965.689	0
0.157546	965.689	970.691	0
0.157718	970.691	975.693	0
0.157907	975.693	980.696	514.276
0.1581	980.696	985.698	0
0.158264	985.698	990.7	261.897
0.158428	990.7	995.702	250.983
0.158593	995.702	1000.7	261.931
0.158765	1000.7	1005.71	181.831
0.158937	1005.71	1010.71	362.333
0.15911	1010.71	1015.71	60.8222
0.159299	1015.71	1020.71	211.871
0.159471	1020.71	1025.72	131.83
0.159644	1025.72	1030.72	661.627
0.159817	1030.72	1035.72	327.396
0.15999	1035.72	1040.72	516.017
0.160179	1040.72	1045.73	326.06
0.160352	1045.73	1050.73	0
0.160525	1050.73	1055.73	510.291
