"ID108129_02","ID108129_03","ID108129_04","IDPhos_01","IDPhos_02","IDPhos_03"
0,119.456,305.013,0,0,0
60.2672,0,0,0,0,0
0,120.641,58.7201,0,0,0
0,164.707,60.9379,0,90.7515,0
123.612,0,0,0,0,0
0,70.2571,0,96.296,0,0
58.6949,0,0,0,0,0
65.6054,0,56.7101,0,0,0
0,0,198.713,0,0,0
0,100.428,87.8654,0,0,0
0,119.355,244.197,143.516,0,0
0,229.84,0,82.0569,0,0
273.868,549.273,0,0,0,0
0,0,158.418,0,0,0
71.695,225.329,221.493,0,191.609,0
0,483.575,66.2807,0,0,0
201.236,267.819,0,0,0,0
101.866,112.601,207.34,0,0,0
0,80.4944,293.298,0,0,0
0,603.05,534.706,118.524,0,0
0,106.634,121.695,0,0,0
149.547,180.445,166.946,0,0,100.883
0,177.496,0,0,0,0
0,0,199.039,0,0,0
171.316,0,0,0,0,0
0,231.705,0,0,0,0
116.659,236.922,139.038,0,0,0
178.556,554.363,178.126,0,0,0
0,0,306.356,0,0,162.829
0,0,92.0636,0,0,0
109.426,0,637.605,0,109.275,119.147
78.8312,86.5681,887.329,0,0,98.9148
471.315,363.167,294.131,0,0,0
0,626.717,251.765,0,0,0
0,63.8109,0,0,0,0
453.909,103.655,426.918,0,0,76.1855
179.641,326.891,616.007,0,0,71.0895
164.139,446.978,469.988,0,0,0
0,360.158,237.158,0,0,216.346
0,318.323,881.734,0,0,68.8512
0,419.181,373.788,0,0,178.001
85.2418,864.704,693.981,0,0,0
0,781.657,364.241,0,0,341.812
267.895,527.145,371.474,0,289.518,0
0,368.752,284.704,0,0,0
94.7272,0,462.957,0,0,0
664.705,86.5788,465.589,0,0,0
0,411.696,0,0,101.21,104.969
209.502,351.035,241.382,0,0,0
293.273,192.734,236.982,279.084,0,0
196.291,319.903,82.2146,0,80.0912,79.7676
0,151.185,102.521,0,0,0
242.138,698.19,255.521,0,0,0
395.693,242.214,369.322,0,0,170.944
93.5163,133.418,151.16,0,147.754,0
146.397,521.87,0,0,0,0
462.687,695.481,537.006,0,0,138.811
187.703,59.2329,157.461,0,0,0
0,395.811,195.685,0,0,210.788
0,371.524,449.322,0,0,0
300.03,430.724,937.48,0,0,90.1467
194.474,769.349,551.49,0,0,0
109.535,266.988,0,0,0,0
106.251,0,306.907,0,72.3508,63.9369
102.598,0,109.35,0,236.427,127.218
388.888,403.203,0,81.7353,118.7,59.7282
432.311,302.018,505.018,0,103.809,318.843
516.384,0,323.717,0,0,0
250.178,0,409.478,0,0,0
141.483,369.651,144.255,0,0,110.812
418.047,305.246,145.843,87.4249,0,0
203.909,338.082,370.214,0,224.621,0
0,681.254,850.559,0,0,154.587
87.2096,279.792,0,0,0,189.653
127.472,407.009,251.791,0,0,583.723
511.905,763.689,273.965,0,0,0
174.144,0,132.486,0,0,75.9822
0,324.141,387.401,0,0,0
465.816,152.546,0,0,0,0
93.0449,512.035,435.839,0,0,197.35
0,0,0,0,0,129.713
