,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_3,SPQC_4,SPQC_5
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
A0A075B6J9,107448.1484,112845.8359,109143.1797,108357.3359,108734.9219,102652.4609,104780.5938,94818.51563,85728.25,77818.58594,94523.03125,81139.83594,70872.17188,86805.76563,42196.25781,51296.00391,49863.42188,50352.89063,45777.14844,49095.83984,60191.03906,49162.52734,61187.29688,52840.45703,48715.96094,54775.09375,43962.90625,65975.28906,67942.53125,69660.94531
A0A075B6K2,100138.7031,115386.9688,104578.2813,106554.3438,103133.4453,119257.7813,114222.0859,52577.63281,37528.62891,57306.87109,51793.97656,17785.82813,89328.04688,79468.89844,48114.53906,61411.21094,57596.88281,91187.36719,77068.3125,87820.625,58182.87891,49142.52734,45399.93359,48479.41016,46507.65234,54192.18359,50604.75391,82694,66970.30469,63932.31641
A0A075B6K4,82501.10938,84251.44531,85176.82813,77882.38281,81446.19531,84989.90625,89100.95313,79687.64063,79103.27344,85627.85156,84192.46094,84815.78125,86950.32031,86317.21875,34017.69141,32542.48242,32914.00781,33596.60156,31961.20117,34966.53516,89633.61719,91417.14844,88443.28906,90778.44531,89632.5,91559.90625,91649.25781,73735.14844,78004.24219,80660.32813
A0A075B6K5,784489.375,762257.4375,810558.875,764914.1875,783937.5,752230.25,805584.9375,694181.375,655539.75,653668.0625,711672.5,709935.125,742136.3125,694538.5625,946220.0625,946136.8125,896282.8125,866510,901997.4375,942120.1875,471649.6563,482622.6875,481126.2813,515327.7813,493464.3125,480890.2813,495000.0313,687087.125,769379.4375,764998.875
A0A075B6K6,8588.197266,7995.188477,8096.328125,6742.308594,4114.463379,7974.972168,8596.016602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978.2554321,2050.779297,1916.038086
A0A075B6P5;P01615,767542.3125,756958.125,770849.125,760856.625,776483.3125,789852,819849.0625,588240.5,560507.5,581150.0625,564551,575914.9375,646297.5,644947.5,594512.4375,607142,618251.1875,636440.625,647289.1875,725330.5625,643771.4375,637177.375,611183,623266.375,611242.8125,673273.375,663836.3125,660709.4375,660152.9375,651150.9375
A0A075B6Q5,32178.64453,38756.52734,33988.73828,33405.70313,31783.53906,31603.91406,25643.87891,47453.8125,45038.99609,47268.75391,43622.28516,44582.47656,47634.97266,44338.94141,47496.46094,45173.99609,48175.88672,45397.32031,46546.31641,41671.13672,23256.50586,31872.5957,30595.78125,30460.32422,30854.51758,32649.34375,32360.14258,32549.81445,34759.86719,32572.25
A0A075B6R2,11415.51563,NA,3967.955811,141.7474976,NA,NA,NA,15529.25684,21563.85156,22605.38867,19437.97266,23728.25977,17101.02344,22362.23438,28631.55078,30141.10938,41567.66016,50041.68359,22592.91602,30759.10352,14697.57324,32413.70508,15647.24805,19189.96484,16925.54102,16889.12695,17649.18555,15875.88965,12751.00977,15666.89355
A0A075B6S2,967681.4375,908787.6875,973318.5,964433.3125,958068.0625,925156.1875,982009.1875,740774.9375,736190.25,738559.6875,740642.3125,734058.5,734243.9375,784438.3125,841706.75,818980.6875,826443.8125,850011.3125,875719.75,909967.5,753429.3125,740241.5625,712673.9375,729084.0625,747250.8125,747399.25,749917.3125,815899.625,886670.375,885105.4375
A0A075B6S5,5474624,5481462,5455583.5,5237917.5,5571782,5339421.5,5612884.5,5697540,5535668,5258166.5,5340958,5229112.5,5561896,5650586,4483248,4473422.5,4555236.5,4447832,4687598,4561892.5,3778370,3644927,3637293.25,3667844.25,3507896.75,3449806.75,3560902.5,4916066.5,4850625,4763652
A0A075B6S6,359240.0313,361153.9063,346608.5,333605.5625,348692.4688,325567.4375,322195.9688,297178.4688,289411.8438,291845.875,278459.9375,280552.1875,263901.75,260399.7813,199323.75,202189.2344,195964.5,173936.8438,172385.7188,195016,201290.25,187811.4688,194574.8125,194565.7656,201489.1719,194244.5469,201373.4063,240514.0469,245151.3594,252798.9063
A0A075B6S9;P0DSN7,1023116.563,988515.875,936861,929253.5625,997491.5,956498.0625,927070.75,785514.125,809805.75,788380.6875,791036.5,766321.9375,875164.125,831227.4375,536828.8125,570274.25,535511.8125,529505.5625,499033.5313,501604.6875,455565.0313,474806.4063,453421.375,440788.0625,447690,455123.7188,503634.0313,678216.8125,648337.5625,641175.8125
A0A087WSX0,23996.03711,22845.39063,24223.86328,22828.62695,23355.96875,25167.60352,21098.17188,21145.37695,20584.375,21384.55469,25863.6875,18256.58789,18452.55469,23371.34766,31122.66406,26576.85352,27774.43945,22550.10352,28605.48633,33644.80859,42577.65625,42096.91797,43681.8125,43916.46875,42650.03125,41234.71484,44359.77344,25934.97852,28389.97656,29574.64453
A0A087WSY6,267947,259345.25,257438.0938,295226.0313,299873.0313,325966.2188,360843.4688,181734.9844,174600.8594,183790.4531,185641.5469,207106.4375,182601.9531,217572.8438,188488.9688,223119.0938,192666.0156,196392.3906,208838.4688,294844.5313,301692.0938,280820.0625,307527.4688,286741.7813,291472.1563,307833.3125,284545.3125,263711.9375,281309.0313,262707.5
A0A087WSZ0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1558.238281,3046.936768,1959.962524,2049.709717,2274.686035,2787.927734,NA,NA,NA,NA
A0A087WW87;P01614,59454.57031,59557.25781,61802.40625,59145.89063,59134.21094,59716.58203,63548.79688,72051.17188,68041.10938,68700.46875,66142.14063,64321.11328,63362.32422,67530.84375,71935.69531,70997.32031,71529.35938,70528.07813,65442.37891,55704.74609,84316.04688,85431.35938,82742.03125,81085.69531,81656.0625,77880.71094,77968.86719,69228.45313,65821.71094,59129.58594
A0A0A0MRZ8;P04433,1078709.125,1035668.125,1043817.188,1135738.875,1049252.375,1018904.5,1033601.375,1198291.75,1206833.25,1140280.625,1140900.875,1136474.625,1137745.875,1132968.25,1490378.25,1504340.75,1462382,1504413.5,1371800.625,1511506,1177109.5,1167678.375,1108231,1127517.875,1089317.75,1172345.625,1143845.5,1199801,1290979.75,1301722
A0A0A0MS14,56818.97656,57118.6875,55467.55078,54517.52734,53098.44141,54754.73828,53003.09766,106056.7266,101936.0859,101250.25,98403.96875,97680.14063,102507.4922,103461.8125,110516.1016,109644.2578,107405.0547,111135.3438,104377.8047,87990.50781,59565.57031,63332.95313,58439.00391,60196.71484,61296.04297,65201.62109,64420.05078,75397.39844,71535.44531,70309.03906
A0A0A0MS15,284624.4063,305946.5625,276341.9375,294628.7813,284107.8125,271745.1875,287864.4375,188391.9531,185021.3594,210299.3125,201582.7344,185999.2031,200284.6719,201003.125,215182.7656,201670.5,221744.7031,218452.0938,229236.5938,168734.5156,187092.375,191215.2969,183785.4375,189608.9688,185748.5,185793.8438,191134.9531,214982.5625,226396.1719,226573.3281
A0A0A0MT36,261555.5469,254356.2344,242576.0156,237110.375,251347.4531,244233.5313,242941.4375,247463.7188,239515.4219,220698.5469,234906.5469,208743.0156,198152.1094,243985.5,238338.9531,259290.1406,267963.5625,246905.5156,271149.125,277999.5,162776.8438,237738.2188,206151.2344,222783.3281,197356.1719,179363.2344,190460.2969,256509.5,234716.0156,245645.6719
A0A0A0MT89,103906.7891,98253.61719,100605.7109,105553.125,127090.2891,108719.7266,111492.3828,98524.46875,90784.27344,90778.03906,92194.23438,90849.64844,111499.8281,111592.5625,121451.2344,121201.8125,113952.5781,123053.5,138926.75,164327.2188,68869.85156,73355.36719,72340.4375,69453.53125,73422.32813,71733.4375,71435.29688,97496.36719,105215.2109,106863.1719
A0A0B4J1U3,42729.19141,38142.74609,37022.23828,34232.02734,39029.83984,34595.84375,32614.46484,46682.94531,42686.64844,46619.92188,45561.58594,41708.54688,40801.72656,39525.16406,39267.04297,38399.79688,36122.90625,34180.22656,32005.42578,34282.03125,84901.01563,83520.09375,81055.30469,81493.91406,79773.85156,73638.65625,72167.23438,43498.45703,44509.75781,43812.71094
A0A0B4J1U7,188206.25,184058.7813,198403.5469,200267.3438,204481.3594,209519.75,202034.8125,188727.375,181456.6875,188626.8906,180374.3594,179682.9375,177146.5156,179579,358277.4063,357756.2188,360744.75,360955.1875,388667.8438,370370.5313,126392.7188,125430.6719,121525.7188,140652.9688,127524.4766,125823.2891,140233.0781,218581.7813,236732.3438,242569.3594
A0A0B4J1V0,66617.96094,70499.51563,67886.75,74141.55469,74862.67969,74743.75,73986.4375,105828.1719,115623.5156,109547.6563,112888.0313,113929.1016,111979.5078,118862.2891,131452.7656,115799.7188,119392.2344,138264.1406,124338.6641,134411.0781,64301.55469,65559.14063,75148.61719,68821.17188,74764,74064.85938,71119.82031,101631.4141,104339.9453,100602.2344
A0A0B4J1V1,1759112.25,1744591,1736982,1731038.25,1737248.5,1788633.5,1735781.875,1692266.875,1651987.875,1630908,1708601,1630123.75,1684916,1733555.25,1949015,1912315.875,1908948.375,1931303.875,1978444.25,1837774.875,1336572.125,1322861.375,1323222.875,1328255.25,1298287.25,1339191.125,1329579.125,1659862.625,1619602.25,1625416.25
A0A0B4J1V2,8951.799805,8833.835938,10216.5332,9742.56543,9062.466797,9275.65332,9033.49707,21320.0293,21487.28125,20422.67188,21492.44727,20629.30078,18265.61133,21846.10156,18920.39063,17751.36328,17066.65625,17165,18132.68945,18896.13477,21529.01367,26723.69727,21423.17773,24085.79688,25574.52148,20493.71094,20779.19922,15660.87012,16911.80078,17502.3457
A0A0B4J1V6,254691.3438,262686.8125,256777.2031,247908.4063,240359.375,232567.4375,236351.625,178371.9688,175976.125,177184.0469,172750.1406,169388.0625,186379.8594,169522.7969,127982.7188,117627.8203,128770.1719,137013.1094,129027.5469,116294.25,112374.6016,124845.25,108564.125,114725.3281,118080.6563,117306.1797,112655.2031,164806.6406,176768.8281,166328.0938
A0A0B4J1X5,118987.8906,116439.7266,123901.5234,117038.2344,127134.4922,135859.0469,137295.3906,136850.4219,139095.2813,130571.75,149035.3438,139604.3125,161646.1406,153456.2656,158464.6719,121929.2656,161981.4219,161215.625,191254.3906,188023.7344,104813.2344,97900.76563,103852.6484,103568.3984,100299.3906,117222.0313,111048.0469,131077.8438,127959.7891,126164.0078
A0A0B4J1X8,48777.35156,47001.29297,49351.92969,45740.07031,44606.60156,44738.83984,45578.88281,52432.17188,51734.90234,54197.63672,45242.19922,48539.49609,58064.90234,57166.66016,93683.17969,91995.625,93589.95313,95331.69531,95384.14844,95436.78906,52978.78516,52874.03906,57330.58984,47742.30469,49884.55078,52748.67969,53917.57422,62112.20313,58289.0625,59518.69922
A0A0B4J1Y8,72593.41406,95095.58594,83313.84375,88167.875,76952.40625,80377.875,107426.1797,82222.0625,85702.04688,86157.09375,77617.60938,89566.71875,83156.8125,92736.22656,24521.57227,20617.06055,22676.27539,21194.10547,25910.92578,30699.60742,29816.51367,31391.72266,30177.42578,34255.96875,33733.60938,33380.96484,30910.64063,68291.30469,66012.71094,59367.68359
A0A0B4J1Y9,477958.7188,483239.3125,492513,475103.7188,492644.125,471747.8438,483431.3125,636052.5625,608682,623908.125,628985.875,638567.75,698919.8125,694126.3125,413258.9063,429542.4688,425861,424267.8125,506557.4063,534409.0625,384295.9688,413637.4688,412672.2188,421181.4063,416374.75,470989.3438,468559.125,466971.6563,466049.2188,405748.125
A0A0B4J1Z2,24556.77344,15889.52441,22959.41211,18795.25586,23047.95117,NA,5939.120605,33461.67578,36497.13281,34297.94531,26152,17572.73242,24459.45898,27505.32227,13783.91504,24919.73047,24813.05859,23097.15039,15687.30176,14216.9541,21005.95898,28419.88281,17462.24219,10734.97754,19187.85742,16754.93945,22208.17188,13626.29688,16967.36133,10688.45703
A0A0B4J2D9;P0DP09,770103,746376.8125,715148.625,745861.4375,779351,762811.9375,712480.5625,762034.625,810211.6875,853243,742512.0625,866102.125,794128.1875,820832.875,282540.75,286173.5938,355982.0313,290847.2813,360644.8438,274123.9375,666098.0625,649103.8125,686785.9375,679754.3125,647582.5,678107.0625,693358.9375,658634.6875,725938.875,610968.5
A0A0B4J2H0;P01742,64741.43359,70499.69531,74838.70313,66497.98438,70295.28125,66524.46875,67814.73438,58203.21875,64060.54688,56027.78516,56456.94922,61626.67578,60296.44922,49716.96484,74881.42969,68954.20313,68917.10938,72333.21875,70691.45313,58977.66406,26480.93359,25741.22656,25343.02734,24011.30273,24295.39453,20217.10742,27469.89258,59513.26172,54017.42188,58717.41406
A0A0C4DH24,98825.55469,98622.80469,100266.0547,94584.8125,100861.0156,101597.0938,106438.4375,213612.2031,204929.5781,209381.4375,208156.2969,208018.3281,228532.8281,217340.2656,446546.0625,447697.5,446563.2188,455149.875,488696.75,540665.9375,205882.6719,201661.9531,205940.0938,201383.5156,206356.7813,217972.1875,223962.6719,248694.4219,246111.6094,250616.8438
A0A0C4DH25,3651815.75,3466343.75,3595767.25,3672801.25,4013686,3746454.25,3854748,2653035.5,2958002.5,2694237.5,2754363,2814222,3130513.75,2918665.25,2597518.75,2645213.25,2790661.75,2668432,2821207.75,3129265.5,2473860.75,2375979.25,2430533.25,2329288.25,2468651.75,2581959.25,2701213.75,3043865.75,3019979.25,2962869
A0A0C4DH29,323424.3438,318832.0625,342978.5938,328989.9688,315577.4063,350893.5625,326342.2188,398007.0938,390418.5625,409543.1563,382189.75,372771.3438,397374.5,382627.25,347363.0313,337183.8125,365064.375,376268.0625,389419.5,362802.5313,351897.1563,350759.375,336297.8438,353227.75,327997.9375,381364.3125,345082.625,353857.625,349035.9375,346118.25
A0A0C4DH30,25478.53711,26992.88477,25420.66211,29037.90234,30771.88086,28339.08984,27137.92773,16358.72266,12531.07715,13697.93945,13144.37695,12340.27832,13438.29395,12579.98145,11828.70215,11944.21094,12862.2334,16162.3291,13027.55371,12806.89453,10779.38281,11470.63086,9596.191406,11084.6748,9340.49707,9640.754883,10342.64355,17480.07422,18253.93555,17658.34961
A0A0C4DH31,99976.57031,105962.6406,106794.2656,106337.625,106118.5938,110690.9766,108304.7031,114479.6563,105814.7188,112567.4063,103995.1016,103160.0078,106835.375,109679.7734,120631.3438,122253.3281,128988.0234,120064.6563,124937.1094,129044.6016,76061.98438,75145.86719,71898.38281,73758.17969,67001.36719,68083.69531,64603.23047,103973.9609,103602.7969,101713.9297
A0A0C4DH32,74552.875,85973.4375,73710.10938,72599.32813,73509.77344,76191.6875,76315.16406,56544.35156,48965.51172,42679.20313,61620.20313,44183.69141,50945.37891,47424.68359,52506.62891,54758.85156,55720.82813,58672.42969,52413.90625,70316.97656,24957.94141,33238.10156,30046.51172,32899.86328,29922.61133,27027.21484,21803.83203,49803.26953,51516.70703,48882.16016
A0A0C4DH33,20019,19126.39453,20290.49219,17979.36719,19144.08398,16056.00488,17923.89648,16604.24414,17907.51172,15428.16797,16740.05469,17310.125,14181.09961,17195.48438,10482.73926,11985.34668,11908.57227,9162.044922,13248.48926,13009.40625,12988.42578,11548.15137,13199.83398,11972.07813,12765.02637,12195.96582,12484.00488,15921.50977,15857.50977,17667.37305
A0A0C4DH34,58593.67578,51955.82031,56309.81641,53994.9375,55950.71094,59749.82031,57040.54297,60477.14063,64072.91016,59821.35547,60291.05859,57434.51953,64922.4375,66606.73438,52051.93359,52781.79297,53556.27734,51432.73828,52549.78125,48793.91797,24242.26953,24747.27148,25025.2793,26172.36523,27302.80078,27188.36719,27599.36914,46400.46875,48383.25781,47593.20313
A0A0C4DH35,87952.59375,110305,104841.75,68831.28906,66656.29688,85218.21094,87492.42188,58477.74219,45070.50781,55160.75,43231.32422,40219.19922,61837.58594,69496.14844,28653.00781,29354.51367,23311.88867,47520.52734,47844.94141,58996.74609,53624.94922,63075.4375,36069.67578,34808.52734,35778.46484,53923.26172,58289.53516,49892.44141,45637.07422,44523.32813
A0A0C4DH36,596776.4375,588354.75,598378.125,585203.875,580528.1875,554106.6875,502507.75,244466.5469,232388.8438,228899.625,231103.2188,230243.6563,228337.0625,233319.0156,255845.9844,244248.6719,250784.0313,252384.6875,244625.9219,228303.1563,191147.5156,185716.9063,180918.1406,191179.8906,178859.0156,176168.0938,174014.5781,318381.625,305577.5313,300993.125
A0A0C4DH38,1269134.75,1264141.125,1277798.5,1199175.375,1192552.75,1124971.75,1146021,1524691,1485847,1522181.625,1446633.125,1390117.125,1475301.625,1474675.375,1683553.25,1641431.375,1630585.625,1710775,1590984.875,1452681.75,1066318.125,1001198.375,979939.875,928220.375,1003097.25,927197.8125,906697.0625,1286888,1239546.75,1221667.25
A0A0C4DH39,18688.69531,19439.61328,17598.03516,17232.72461,18878.86523,19513.92383,19691.66602,10285.58301,10904.74219,10657.6582,11531.01074,10024.85352,9691.680664,11038.4873,8914.753906,9311.860352,9645.701172,8562.923828,12417.94043,12459.59375,9747.331055,8251.625977,8755.668945,9636.268555,9357.933594,9048.152344,9745.943359,13062.2627,13121.77539,13383.28711
A0A0C4DH42,221429.5156,202208.6094,196985.3125,208797.5781,196073.5781,190464.5781,200287.875,492101.75,489429,488135.875,489281,480830.5625,489336.625,475491.75,518665.6875,498521.9375,518604.9688,501877.0625,479701.5,424319.0313,164138.1875,148970.5625,145542.4375,152964.9219,148984.7969,151669.7969,150445.5313,306613.1875,321507.9375,317530.9688
A0A0C4DH43,112905.0391,103431.3438,104714.3594,107601.4766,91821.28906,108195.8281,106705.4531,144876.9688,146804.9219,142647.7656,147773.4531,141703.0625,151137.5938,142779.9219,77008.02344,82895.10156,84182.25781,90166.6875,82319.90625,75645.9375,43824.15625,33451.35156,32907.83203,34171.39844,37504.40625,50058.64844,48464.97656,80600.07813,84658.53906,86160.25781
A0A0C4DH55,20584.33203,23177.84766,20081.14258,28244.68359,29759.78125,30305.47461,20575.50586,25315.58008,17896.26758,30069.60156,24826.26758,15743.26172,19034.48242,19841.89453,51155.37891,64221.96875,44260.07422,77477.10938,48124.40625,38160.27344,8848.636719,15754.125,26908.66016,18423.07617,25200.44141,22284.16406,33413.44141,22956.7207,18065.25391,9029.414063
A0A0C4DH67,49164.21875,50108.07031,44489.07813,47431.94141,46999.63672,46042.21094,45144.03125,89201.36719,89532.17188,85720.03906,88033.17188,83578.66406,83146.0625,87333.04688,82631.33594,82234.83594,81655.66406,82304.60156,75968.67969,73747.75781,71632.67188,71288.90625,68149.48438,69968.01563,70256.92969,68421.64063,65256.33984,69961.33594,70312.53906,69963.85938
A0A0C4DH68,323104.8125,314472.6563,336910.0938,322480.5,331683.3438,302566.8125,316648.0938,331810.3125,357405.1875,353929.7813,373290.9063,362779.6563,353594.7813,339707.7813,459988.5625,437372.5,461833,470069.4688,450666.7813,436316.2188,354702.75,359481.5625,366588.7813,370272.4688,371010.3438,341425.5625,333856.6563,396400.6563,401987.1563,402907.9375
A0A0C4DH69,691077.5625,620731.375,605677.875,656355.625,651195.25,590038.5625,497897.8125,790901,796880.5,810592,736435.4375,705026.625,677558.9375,696926.625,1324805,1352020.125,1319014.625,1223793.75,1016244.188,1088470.125,1116838.5,1014342.063,1055476.625,1100718.5,1100773.625,1167290,1194786.75,863535.375,784103.375,726997.6875
A0A0C4DH72,2812210.5,2874957,2810021,2765269.75,2939400.75,2669972.5,2552726,592852.625,591516.125,599427.5625,538512.0625,560834.125,563750.6875,519762.6875,820030.6875,853236.375,773797.3125,827882.3125,628390.5625,413593.125,497018.5938,525179.4375,524276.9375,456796.6563,484261.4375,441929.6563,441833.7813,1246912,1061972.625,928531.6875
A0A0C4DH73;P01611,1309637.25,1275815.125,1266062.5,1253978.375,1354167.75,1250419.75,1282810.75,1586879,1608728.75,1564119.375,1534493.375,1536944.5,1583884.125,1659330,1399573.375,1430692.875,1440193.625,1409878,1477937.625,1621053.25,833798,902519.625,921564.875,891798.625,875747.5625,915975.125,915417.6875,1283957.25,1327258,1304268.875
A0A0G2JS06,18888.54688,13218.71191,17201.36523,14593.70605,18558.65234,21376.63477,17925.52734,47267.41016,47218.65234,47620.34766,50207.28516,48454.15234,54886.06641,47474.39063,21045.17188,15523.27539,17360.6582,22958.59961,16170.45117,27639.61914,29144.32031,18476.31836,29457.69141,26386.95508,32039.33008,23921.35938,21559.47852,25581.12891,35210.11328,28148.27148
A0A0J9YVY3,15477.4873,15282.47754,15222.5625,15991.71387,17127.25391,16931.80859,19147.88672,18272.18555,14115.90332,16817.73633,13977.31152,16822.29688,17024.47656,15389.26465,28771.6582,33914.91016,27985.89063,32171.61719,35086.56641,32278.37891,12564.14453,9670.234375,7978.548828,9326.191406,9347.919922,12658.03027,11529.24219,14788.20996,13876.46484,14865.66113
A0A0J9YX35,66179.70313,72256.71094,73212.75781,74859.85156,65431.41797,74472.32031,51041.19531,110109.1953,108864.9141,110877.2188,104351.2813,108065.0703,101081.3125,104153.4453,140294.6719,135425.3125,135589.5469,140536.625,137456.5313,105809.2891,67417.95313,72413.94531,64606.80078,65927.95313,70868.83594,65070.05859,76376.28906,97095.28906,100988.6797,95253.23438
A0A0J9YXX1,49243.08984,44691.75781,37744.55078,44953.10156,37879.375,38683.88281,38912.45313,32820.07813,40519.44922,24288.50391,21057.84766,27628.20313,33059.21875,26763.32813,142362.0781,146322.6406,151449.3594,143362.3438,187514.7969,170138.75,21667.66602,36259.90234,23106.99023,19867.73828,20426.27539,26990.50977,24366.49023,63661.83984,59726.60547,59314.77344
A0A1B0GTC6,7333.836426,7020.29834,8312.78418,2700.838623,4917.553223,6180.654297,4630.018555,9136.692383,5801.215332,9738.551758,3775.517822,6198.897461,5267.479004,6845.90625,13818.98047,13585.53809,9477.538086,13401.54004,11820.76367,9557.727539,7315.008789,8853.515625,6147.31543,4038.433105,4046.189941,5550.918945,5176.011719,6493.991211,8113.834473,8697.691406
A0M8Q6,72093.39063,64080.28906,66103.26563,67389.65625,72561.41406,66886.26563,64712.67969,95622.39844,121811.5781,124669.3906,127322.9219,116803.875,114813.9922,94622.375,18370.44531,23480.70703,15738.94043,14599.72656,9305.597656,18498.6582,75330.60156,80343.03906,75124.21875,69885.01563,72027.52344,67644.38281,67752.22656,86268.26563,75311.50781,77625.55469
A2NJV5,177227.7344,156253.9219,186678.9219,172570.0156,166880.4688,173070.9531,204938.1875,109721.9922,116436.4297,109934.6484,113977.5625,103362.1406,130766.2422,132565.2188,54730.5,57094.37891,53254.57813,52222.75391,61020.73828,71088.82031,66119.17969,68302.49219,62067.46875,62260.05859,66801.1875,64431.1875,77968.03125,122671.125,110094.3516,120802.3125
A6NFK2,NA,NA,NA,NA,NA,NA,NA,77790.66406,76800.58594,81020.82031,80426.42969,67875.39063,87185.85938,89500.10938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46429.05859,39899.44141,43123
A6NMB1,794279.1875,860667.875,854230,865617.5625,864253,885463.8125,915405.9375,654096.0625,658263,625863.3125,646766.3125,654984.625,631133.1875,634276.5,684945.75,664283.9375,703435.8125,688140.375,747387.5,755213.4375,768483.875,801555.5,749273.625,785437.25,765417,744392.875,756510.9375,713878.4375,764027,793869.1875
A7E2S9;Q2M2W7;Q9UPS8,2215.608643,NA,NA,NA,NA,NA,NA,17181.01953,15685.65234,12409.49023,15766.88672,16292.6748,17026.71094,16466.94141,8554.624023,8750.915039,9019.771484,9836.59668,8656.961914,6700.950195,NA,NA,NA,NA,NA,NA,NA,8489.501953,8419.219727,7605.817383
B2RUZ4,NA,NA,NA,3318.14502,NA,18646.65234,13970.12109,NA,NA,NA,NA,NA,17940.14844,15931.60254,NA,NA,NA,NA,35892.26953,27421.32031,NA,NA,NA,NA,NA,15860.91309,13058.52441,7583.743164,8115.565918,8171.562012
B9A064,17670868,17924888,17664810,17642282,17909276,18049016,18447354,19143954,19068428,19150656,18841434,19021372,19621834,19610278,14564299,14126386,14334517,14603325,14672545,15934200,12880727,12507707,12693302,13105838,12958045,12854813,13252160,16497844,16453288,16805008
O00151,2906.044678,2673.426758,2947.286377,4642.331543,2143.336182,7173.219238,5006.027832,4523.497559,11980.16699,12134.27637,16223.71484,17174.04492,11600.82422,15807.01074,6357.330078,7559.51709,6481.106445,5964.138672,10655.98828,8709.621094,5138.174805,7237.75293,10803.9209,11027.65723,13477.44434,10798.13965,15657.4707,6455.361816,5792.409668,6687.974121
